qid,question,type,v3r_majority,answer_status,official_label,diag_label,label_match,p_unsupported,mass_supported,mass_unsupported,diag_latency_s
smoke_relation_swap,Did Maria attend the Riverside Book Fair?,smoke,,expected_UNSUPPORTED,,UNSUPPORTED,,0.9999989509988577,1.049001161040695e-06,0.9999989687795189,2.7115084159886464
smoke_entity_swap,Who recommended a banana and yogurt to Maria for recovery?,smoke,,expected_UNSUPPORTED,,UNSUPPORTED,,0.9999986417415914,1.3582583326574086e-06,0.9999985858019411,0.5168331250315532
smoke_date_shift,When is the neighborhood cleanup?,smoke,,expected_UNSUPPORTED,,UNSUPPORTED,,0.999998799711519,1.2002885115284144e-06,0.9999988250568146,1.41836133308243
smoke_supported_control,Where does the book club meet?,smoke,,expected_SUPPORTED,,SUPPORTED,,3.6420786613287657e-05,0.9999635558497664,3.642078576233524e-05,0.4271383329760283
1,"Did Wolfgang ask Li Hua about watching ""Star Wars: A New Hope"" after he asked Li Hua about going to see ""Overwatch 3""?",Multi,error,wrong,UNSUPPORTED,UNSUPPORTED,True,0.9999997499621497,2.500378532242495e-07,0.9999997613735662,1.0073551670648158
6,"Did Yuriko ask Li Hua for help with her studio's homepage before she booked a seat at the ""Central Perk"" cafe?",Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999668757323835,3.312426901001268e-05,0.9999669178024307,0.8781192910391837
10,"Did Wolfgang Schulz recommend the band learns ""Viva la Vida"" by Coldplay after he and Li Hua discussed what song to play this Sunday?",Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.952565281306047,0.04743472081155745,0.9525653238309423,0.9404307919321582
14,Did Chae tell Li Hua that taking a warm shower before sleeping can improve the sleep quality before sharing the neuroscience article with her?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999994437316307,5.562684395699757e-07,0.9999995702020067,0.9453329170355573
15,Did Li Hua ask Jennifer Moore for book recommendations on fitness nutrition before she announced the special guest speaker at the gym?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999982995172431,1.700482886471085e-06,0.9999983756960544,0.9001815000083297
16,Did Jennifer remind Li Hua about proper nutrition and hydration before Jake shared his tips for staying hydrated during the match?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9996472861754392,0.00035271383189475723,0.9996473069608521,0.9246352500049397
19,Did Li Hua ask Thane about his opinion on The Last of Us before he asked about Sekiro: Shadows Die Twice?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999982485230623,1.7514769532883675e-06,0.9999982574359282,0.8804320000344887
21,Did the group members debate about the best football manager in the Premier League history after they debated if Pep Guardiola is the greatest soccer manager in football history?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9858896176821849,0.014110383456978928,0.9858896972753333,0.9418297499651089
22,Did the discussion about Jaime Lannister's character occur after the discussion about Cersei Lannister's character?,Multi,neither,neither,UNSUPPORTED,UNSUPPORTED,True,0.9999947962696168,5.203730541712751e-06,0.9999948267503502,0.709659666987136
23,Did Wolfgang ask Li Hua if she wants to have pizza for dinner after work today before he wondered if she wanted to have Sichuan hot pot for dinner tonight?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999995419125713,4.5808742158761196e-07,0.9999995263903796,0.9668793330201879
24,Did Jennifer challenge Li Hua to do 60 pull-ups in a training session after she challenged him to do 100 pushups?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999856538537023,1.434614691697055e-05,0.9999856970106968,0.8920647919876501
25,Did Jake share common knowledge about offside in soccer with Li Hua before he passed practical techniques to Li Hua on how to avoid offside for a forward?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999823156853612,1.7684313504612335e-05,0.9999822515528894,0.9442775410134345
26,Did Wolfgang arrive in Hong Kong after he informed Li Hua about his upcoming trip?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999958245452157,4.1754549788665495e-06,0.9999958711665868,0.9700132090365514
28,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Multi,,no_majority,UNSUPPORTED,UNSUPPORTED,True,0.9999991264782239,8.735217828858231e-07,0.9999991341589017,0.9274592910660431
29,Has Wolfgang ever been to Hong Kong?,Multi,error,wrong,UNSUPPORTED,UNSUPPORTED,True,0.9999317280965676,6.827190699681755e-05,0.9999317803011462,0.8846680829301476
30,Who knows about Wolfgang going to Hong Kong?,Multi,error,wrong,UNSUPPORTED,UNSUPPORTED,True,0.8536002160129096,0.1463997833345611,0.8536002122082655,0.8408638329710811
32,Who introduced the bread delivery service and recommend Alice for the delivery?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9977738370331359,0.0022261630122337086,0.9977738573680051,0.9600604999577627
35,What opportunity did LiHua create for Chae to meet Wolfgang and Yuriko?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999509583447815,4.904165777172665e-05,0.9999510104069517,0.9273113750386983
41,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999949725718108,5.027428596042197e-06,0.9999950534780767,1.053441874915734
43,Is the time interval more than 3 days between LiHua asking Adam to help him install a curtain on the basement window and Adam asking LiHua to measure the size of the window?,Multi,error,wrong,UNSUPPORTED,UNSUPPORTED,True,0.9999978361241311,2.1638760318447766e-06,0.9999979113664429,0.9262185409897938
46,Is the time interval more than 3 days between LiHua first asking Adam if he can buy a small fridge for the basement and Adam asking LiHua about the size of the fridge?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999940072761562,5.992724220722054e-06,0.9999940701655278,0.9214252500096336
47,Is the time interval more than 7 days between Adam asking LiHua about the size of the fridge and Adam informing LiHua that the fridge will be delivered at 4pm next day?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999960591572284,3.940842969099326e-06,0.999996109310599,1.000004459056072
48,Wolfgang suddenly becomes very concerned about good body shape and healthy food choices in December. What are the two conversations he had with LiHua in December that reflect this?,Multi,error,wrong,UNSUPPORTED,UNSUPPORTED,True,0.9999991663781473,8.336218641145277e-07,0.9999991800914872,0.9581205829745159
49,Did Li Hua agree to have dinner with Wolfgang after he told Wolfgang about the lunch arrangement?,Multi,error,wrong,UNSUPPORTED,UNSUPPORTED,True,0.9999995552388262,4.447612301233769e-07,0.9999996817703947,0.9429337080800906
53,Did Li Hua provide feedback to Jennifer Moore on his new meal plan before he asked her for advice on a healthy meal plan?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999988496445753,1.1503554365254153e-06,0.9999988599858788,0.9746193749597296
55,Did Adam Smith send Li Hua a reminder about the upcoming rent due date before Li Hua sent a message about having already transferred the rent on 20260301?,Multi,error,wrong,UNSUPPORTED,UNSUPPORTED,True,0.9999985053332074,1.4946667899233131e-06,0.9999985035667046,0.92635700001847
60,Did Li Hua tell Wolfgang about making a new friend before Yuriko reminded the group members to meet for the music festival?,Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9996565933179357,0.0003434066933048747,0.9996566260389097,0.9582182499580085
61,"Did Yuriko tell Li Hua about booking a seat at the ""Central Perk"" cafe before Li Hua sent her a message to confirm the details of their next meeting?",Multi,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999624330948061,3.7566906019587926e-05,0.9999624550729656,1.0176842920482159
72,What is the name of the gym that Wolfgang recommended LiHua to go to?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999947818977244,5.218102376321541e-06,0.9999948012270896,0.8873754579108208
89,When did Li Hua change the training plan?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.8817786823622958,0.11822131472010167,0.8817786606007412,1.0196703750407323
114,When does Li Hua request a delivery from Hailey Johnson?,Single,error,wrong,UNSUPPORTED,UNSUPPORTED,True,0.9858631138606885,0.01413688613915584,0.9858631138498307,0.9690467920154333
128,What joke does Wolfgang make as an April Fool's joke?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9989034577317578,0.0010965422908862247,0.9989034783594606,0.8381893750047311
161,How does RexxarRemar plan to spend time in the garden once it's done?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9769469326553103,0.023053067303232394,0.9769469308984285,0.5675690410425887
173,What is the phone number for the maintenance worker that Adam Smith provided to Li Hua for the broken streetlight?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.7787912362295554,0.22120876274560838,0.7787912326215,0.9233159580035135
183,What dietary restrictions does LiHua have in his conversation with Hailey?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9997543261295926,0.0002456738681553515,0.9997543169649243,0.9059619170147926
189,What is the main topic of the conversation between LiHua and ChaeSong-hwa on 20260626?,Single,error,wrong,UNSUPPORTED,UNSUPPORTED,True,0.9999520223020529,4.797769789181891e-05,0.9999520211493341,0.9388619579840451
225,Who offers to help with setting up for the garage sale?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9958701605768826,0.00412983942118255,0.9958701601103087,0.9471081669908017
245,Which regions in Witcher 3 did Li Hua and Thane Chambers discuss?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9394187308888987,0.06058127084798192,0.9394187578222771,0.9903792080003768
251,What toppings does Wolfgang Schulz prefer on his burger?,Single,error,wrong,UNSUPPORTED,UNSUPPORTED,True,0.9887714502594391,0.0112285506070265,0.9887715265592735,1.0807546670548618
255,Who is the most hateable character in Game of Thrones in Orion's opinion?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999996869974552,3.130025451549579e-07,0.9999996883137394,0.7858566249487922
256,Who is the most hateable character in Game of Thrones in Merrick's opinion?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999993437161376,6.562838257434084e-07,0.9999992878525488,0.7729534580139443
275,How many servings of vegetables should LiHua aim for each day to keep body in good shape according to Jennifer?,Single,accurate,correct,SUPPORTED,SUPPORTED,True,0.32319310909467563,0.676806885984551,0.3231931067448767,1.0392129579558969
277,What is Jake's first tip for avoiding soccer injuries?,Single,accurate,correct,SUPPORTED,SUPPORTED,True,0.03782875118524229,0.9621712881363863,0.037828752731212514,0.8985001660184935
280,How does strength training help prevent soccer injuries?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.3216374710436394,0.6783625594771066,0.3216374855146857,0.8961799170356244
287,What memorable quote is mentioned by Phaedra?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9957296984270464,0.0042703017241642995,0.9957297336856551,0.877034124918282
294,How does Niamh think Jaime could've ended up differently?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9707375911509377,0.029262409255038303,0.9707376046185975,0.6170319579541683
296,"What is LiHua curious about regarding the ""Man in Black"" in Westworld?",Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9958945162141374,0.004105483912030396,0.9958945468195113,0.9546612920239568
341,How does Fionnuala describe the convenience of the Control Center's audio settings adjustment?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9995003174718261,0.0004996825311483908,0.9995003234217265,1.0306524999905378
390,What time does LiHua propose for dinner on 20260930?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9996545794256765,0.00034542058254622386,0.9996546032226009,1.014227999956347
396,What does Giselle emphasize about passing drills?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999994809189096,5.190810531413735e-07,0.9999994089555905,1.0432541670743376
404,What game is ThaneChambers currently playing?,Single,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9819336299355561,0.018066370576818345,0.9819336577838491,0.910213291994296
476,Who offers to help with the installation of the curtains?,Single,accurate,correct,SUPPORTED,SUPPORTED,True,0.32424522649569226,0.6757547352901866,0.32424520815953417,0.908782166079618
551,What TV show does EmilyBurnett recommend LiHua to watch?,Single,error,wrong,SUPPORTED,SUPPORTED,True,0.06101073376246077,0.9389891856253213,0.061010728524689965,0.8677268750034273
572,What time will Li Hua and Wolfgang meet for breakfast on the morning of the 9th?,Null,error,wrong,UNSUPPORTED,UNSUPPORTED,True,0.9999990376751496,9.6232490611456e-07,0.9999990957475409,0.9312407500110567
573,What type of equipment does Wolfgang Schulz use when he works out at the gym?,Null,accurate,correct,UNSUPPORTED,UNSUPPORTED,True,0.9999996566741824,3.433258003764376e-07,0.9999996064161952,0.8202107499819249
